SKU,description,normalPrice,specialPrice
1000,"description for 1000",1000.09,1000.01
1001,"description for 1001",1001.09,1001.01
1002,"description for 1002",1002.09,1002.01
1003,"description for 1003",1003.09,1003.01
1004,"description for 1004",1004.09,1004.01
1005,"description for 1005",1005.09,1005.01
1006,"description for 1006",1006.09,1006.01
1007,"description for 1007",1007.09,1007.01
1008,"description for 1008",1008.09,1008.01
1009,"description for 1009",1009.09,1009.01
1010,"description for 1010",1010.09,1010.01
1011,"description for 1011",1011.09,1011.01
1012,"description for 1012",1012.09,1012.01
1013,"description for 1013",1013.09,1013.01
1014,"description for 1014",1014.09,1014.01
1015,"description for 1015",1015.09,1015.01
1016,"description for 1016",1016.09,1016.01
1017,"description for 1017",1017.09,1017.01
1018,"description for 1018",1018.09,1018.01
1019,"description for 1019",1019.09,1019.01
1020,"description for 1020",1020.09,1020.01
1021,"description for 1021",1021.09,1021.01
1022,"description for 1022",1022.09,1022.01
1023,"description for 1023",1023.09,1023.01
1024,"description for 1024",1024.09,1024.01
1025,"description for 1025",1025.09,1025.01
1026,"description for 1026",1026.09,1026.01
1027,"description for 1027",1027.09,1027.01
1028,"description for 1028",1028.09,1028.01
1029,"description for 1029",1029.09,1029.01
1030,"description for 1030",1030.09,1030.01
1031,"description for 1031",1031.09,1031.01
1032,"description for 1032",1032.09,1032.01
1033,"description for 1033",1033.09,1033.01
1034,"description for 1034",1034.09,1034.01
1035,"description for 1035",1035.09,1035.01
1036,"description for 1036",1036.09,1036.01
1037,"description for 1037",1037.09,1037.01
1038,"description for 1038",1038.09,1038.01
1039,"description for 1039",1039.09,1039.01
1040,"description for 1040",1040.09,1040.01
1041,"description for 1041",1041.09,1041.01
1042,"description for 1042",1042.09,1042.01
1043,"description for 1043",1043.09,1043.01
1044,"description for 1044",1044.09,1044.01
1045,"description for 1045",1045.09,1045.01
1046,"description for 1046",1046.09,1046.01
1047,"description for 1047",1047.09,1047.01
1048,"description for 1048",1048.09,1048.01
1049,"description for 1049",1049.09,1049.01
1050,"description for 1050",1050.09,1050.01
1051,"description for 1051",1051.09,1051.01
1052,"description for 1052",1052.09,1052.01
1053,"description for 1053",1053.09,1053.01
1054,"description for 1054",1054.09,1054.01
1055,"description for 1055",1055.09,1055.01
1056,"description for 1056",1056.09,1056.01
1057,"description for 1057",1057.09,1057.01
1058,"description for 1058",1058.09,1058.01
1059,"description for 1059",1059.09,1059.01
1060,"description for 1060",1060.09,1060.01
1061,"description for 1061",1061.09,1061.01
1062,"description for 1062",1062.09,1062.01
1063,"description for 1063",1063.09,1063.01
1064,"description for 1064",1064.09,1064.01
1065,"description for 1065",1065.09,1065.01
1066,"description for 1066",1066.09,1066.01
1067,"description for 1067",1067.09,1067.01
1068,"description for 1068",1068.09,1068.01
1069,"description for 1069",1069.09,1069.01
1070,"description for 1070",1070.09,1070.01
1071,"description for 1071",1071.09,1071.01
1072,"description for 1072",1072.09,1072.01
1073,"description for 1073",1073.09,1073.01
1074,"description for 1074",1074.09,1074.01
1075,"description for 1075",1075.09,1075.01
1076,"description for 1076",1076.09,1076.01
1077,"description for 1077",1077.09,1077.01
1078,"description for 1078",1078.09,1078.01
1079,"description for 1079",1079.09,1079.01
1080,"description for 1080",1080.09,1080.01
1081,"description for 1081",1081.09,1081.01
1082,"description for 1082",1082.09,1082.01
1083,"description for 1083",1083.09,1083.01
1084,"description for 1084",1084.09,1084.01
1085,"description for 1085",1085.09,1085.01
1086,"description for 1086",1086.09,1086.01
1087,"description for 1087",1087.09,1087.01
1088,"description for 1088",1088.09,1088.01
1089,"description for 1089",1089.09,1089.01
1090,"description for 1090",1090.09,1090.01
1091,"description for 1091",1091.09,1091.01
1092,"description for 1092",1092.09,1092.01
1093,"description for 1093",1093.09,1093.01
1094,"description for 1094",1094.09,1094.01
1095,"description for 1095",1095.09,1095.01
1096,"description for 1096",1096.09,1096.01
1097,"description for 1097",1097.09,1097.01
1098,"description for 1098",1098.09,1098.01
1099,"description for 1099",1099.09,1099.01
1100,"description for 1100",1100.09,1100.01
1101,"description for 1101",1101.09,1101.01
1102,"description for 1102",1102.09,1102.01
1103,"description for 1103",1103.09,1103.01
1104,"description for 1104",1104.09,1104.01
1105,"description for 1105",1105.09,1105.01
1106,"description for 1106",1106.09,1106.01
1107,"description for 1107",1107.09,1107.01
1108,"description for 1108",1108.09,1108.01
1109,"description for 1109",1109.09,1109.01
1110,"description for 1110",1110.09,1110.01
1111,"description for 1111",1111.09,1111.01
1112,"description for 1112",1112.09,1112.01
1113,"description for 1113",1113.09,1113.01
1114,"description for 1114",1114.09,1114.01
1115,"description for 1115",1115.09,1115.01
1116,"description for 1116",1116.09,1116.01
1117,"description for 1117",1117.09,1117.01
1118,"description for 1118",1118.09,1118.01
1119,"description for 1119",1119.09,1119.01
1120,"description for 1120",1120.09,1120.01
1121,"description for 1121",1121.09,1121.01
1122,"description for 1122",1122.09,1122.01
1123,"description for 1123",1123.09,1123.01
1124,"description for 1124",1124.09,1124.01
1125,"description for 1125",1125.09,1125.01
1126,"description for 1126",1126.09,1126.01
1127,"description for 1127",1127.09,1127.01
1128,"description for 1128",1128.09,1128.01
1129,"description for 1129",1129.09,1129.01
1130,"description for 1130",1130.09,1130.01
1131,"description for 1131",1131.09,1131.01
1132,"description for 1132",1132.09,1132.01
